Schwenckia huberi
Schwenckia juncoides
Schwenckia micrantha
Schwenckia trujilloi
Schwenkia americana
Schwenkia lateriflora
Schwenkia paniculata
Sclerophylax adnatifolia
Sclerophylax arnottii
Sclerophylax caducifructus
Sclerophylax cocuccii
Sclerophylax cynocrambe
Sclerophylax difulvioi
Sclerophylax hunzikeri
Sclerophylax kurtzii
Sclerophylax lorentzianus
Sclerophylax ruiz-lealii
Sclerophylax spinescens
Sclerophylax tenuicaulis
Sclerophylax trispermus
Scopolia scopolia
Scopolia stramonifolia
Sessea andina
Sessea colombiana
Sessea confertiflora
Sessea corymbiflora
